talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
vride halsen om på nogen,0,3,dræbe ved kvælning,få nogen til at makke ret ved at presse eller true,DISCREPANCY
uden mad og drikke duer helten ikke,3,0,man kan ikke udføre heltegerninger på tom mave,man må sørge for at få noget at spise og drikke hvis man vil klare sig,DISCREPANCY
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
mester for noget,2,3,dygtig udøver af et håndværk,"person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
det fagreste træ i skoven,2,1,"den person der udpeges som den smukkeste blandt en gruppe mennesker, fx i en konkurrence",det som er vigtigst og betyder mest,DISCREPANCY
hele dynen,0,3,fare omkring; være meget foretagsom,alt det som er relevant i en bestemt sammenhæng,DISCREPANCY
gå i brædderne,2,0,gå igennem et plankegulv,blive træt (og falde i søvn); miste energi,DISCREPANCY
en streg i luften,0,1,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY
bide i græsset,3,0,sulte i en sådan grad at man handler uovervejet og irrationelt,lide nederlag; give op; give efter,DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
gå rundt med noget i maven,3,0,have dårlig samvittighed fordi man ikke har påtaget sig en vigtig opgave,have (skjulte) ambitioner eller drømme om at blive noget bestemt,DISCREPANCY
"højt at flyve, dybt at falde",3,2,"når man befinder sig højt oppe, er der også langt ned","jo større ambitioner eller succes man har, desto mere risikerer man at miste",DISCREPANCY
der må være en blonde,3,2,der må være en anden løsning på problemet,der er grænser for hvad man kan tillade sig,DISCREPANCY
strø sand på,2,1,skælde nogen ud; tale nedsættende om eller til en person,bringe en (ubehagelig) sag til afslutning eller ud af verden; undlade at gøre mere ved det,DISCREPANCY
grave et par spadestik dybere,1,0,spørge ind til nogens følelsesliv; starte en seriøs og personlig samtale,være mere grundig; undersøge nærmere,DISCREPANCY
ål i strømperne,2,0,vittigheder; underholdende påfund,folder i strømper der er gledet ned ad benet,DISCREPANCY
have knive i ærmerne,3,2,medbringe noget overraskende eller overrumplende,vente på en lejlighed til at foretage et (uventet) angreb,DISCREPANCY
give bolden op,0,1,fralægge sig ansvar,"sætte bolden i spil, ved spillets begyndelse eller efter en scoring",DISCREPANCY
ikke lade solen gå ned over sin vrede,0,3,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
uden for lands lov og ret,2,1,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
der er løbet meget vand gennem åen siden ..,1,0,børn ændrer sig over tid,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
ved kasse ét,2,0,"ved en første, foreløbig bedømmelse","bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",DISCREPANCY
i mørke er alle katte grå,3,1,"i mørke fremstår katte grå, uanset hvilken farve de måtte have","den der ikke er synlig eller ikke skiller sig ud fra mængden, forbliver anonym",DISCREPANCY
gå i spagat over noget,0,2,være præget af en overdrevet trang til at udføre opgaver til perfektion,blive stærkt følelsesmæssigt påvirket af noget,DISCREPANCY
tabe på gulvet,0,1,tabe en genstand på gulvet,ødelægge eller forspilde nogens chancer eller muligheder for noget,DISCREPANCY
guds ord fra landet,3,2,"alt er som det skal være, trods trusler og farer",uerfaren og naiv ung pige,DISCREPANCY
"når nøden er størst, er hjælpen nærmest",0,1,når man har voldsomt brug for hjælp er den tæt på at ankomme,"når alting ser værst ud, er det lige før det begynder at blive bedre",DISCREPANCY
puste i nakken,2,0,"stå så tæt på en anden person at den luft man udånder, rammer vedkommende i nakken",overvåge; kontrollere,DISCREPANCY
gøre kort proces,3,2,handle hurtigt og effektivt,"handle hurtigt og uden omsvøb, ofte sådan at det går ud over andre",DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
hyppe sine egne kartofler,2,3,dyrke grøntsager i sin have til eget brug; være selvforsynende,pleje sine egne interesser,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
ligne udskidt æblegrød,3,2,have samme konsistens og udseende som afføring ved dårlig mave,se meget træt og sløj ud,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
gå op i sømmene,1,0,gå unødigt meget op i (ubetydelige) detaljer,bryde psykisk sammen; gå amok,DISCREPANCY
